Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
786O	NTC	slide4	A1	M20	76	3.6064546	-0.7426038
293T	untreated	slide4	B4	M30	330	-3.215693	2.453653
293T	untreated	slide4	B4	M13	726	-4.1565347	1.0787381
293T	untreated	slide4	B4	M55	790	-2.171036	4.1345606
293T	untreated	slide4	B4	M1	488	-2.2544956	4.190713
786O	TMEM259 kd5	slide4	B3	M20	218	4.816113	2.7508388
786O	DDX39A kd4	slide4	A2	M6	73	5.3487926	2.129077
293T	untreated	slide4	B4	M2	600	-2.7687964	1.5993996
293T	untreated	slide4	B4	M60	979	-1.6660604	-1.2371459
293T	untreated	slide4	B4	M9	856	-4.195886	1.3306173
786O	DDX39A kd1	slide4	B1	M27	198	1.9991776	0.5465098
786O	NTC	slide4	A1	M43	180	1.9721262	0.033687524
786O	TMEM259 kd6	slide4	A4	M19	168	2.3476472	-0.53565025
293T	untreated	slide4	B4	M48	160	-1.6124674	1.1010864
786O	NTC	slide4	A1	M17	122	1.2983898	0.1741286
293T	untreated	slide4	B4	M26	678	-1.7765265	-0.9246132
293T	untreated	slide4	B4	M14	600	-2.2552361	0.034699243
293T	untreated	slide4	B4	M26	678	-3.4844632	0.13218082
786O	SARNP kd9	slide4	A3	M34	90	3.825258	2.1574535
293T	untreated	slide4	B4	M6	840	-2.8479877	-0.7234042
293T	untreated	slide4	B4	M25	842	-2.0665252	2.8250892
786O	DDX39A kd4	slide4	A2	M18	169	5.752794	2.5805974
786O	SARNP kd9	slide4	A3	M13	51	2.6563954	0.8171455
786O	NTC	slide4	A1	M16	122	5.5885196	-0.061967846
293T	untreated	slide4	B4	M30	330	-4.0161	2.33496
293T	untreated	slide4	B4	M1	488	-1.6970234	-0.33762544
293T	untreated	slide4	B4	M19	463	-3.722595	1.2774364
786O	SARNP kd9	slide4	A3	M4	64	2.98935	2.116453
786O	SARNP kd9	slide4	A3	M30	87	1.7691795	1.4797908
786O	TMEM259 kd6	slide4	A4	M50	93	2.5988946	2.96136
293T	untreated	slide4	B4	M9	856	-3.792408	1.2329879
786O	SARNP kd3	slide4	B2	M39	142	3.790796	3.83188
293T	untreated	slide4	B4	M6	840	0.032179777	1.3861318
786O	TMEM259 kd5	slide4	B3	M28	235	3.8023572	-0.88054544
293T	untreated	slide4	B4	M13	726	-0.43732414	2.177052
293T	untreated	slide4	B4	M50	167	-2.0960014	2.1647167
786O	DDX39A kd4	slide4	A2	M27	83	3.6797829	1.3333316
293T	untreated	slide4	B4	M12	858	-2.4866045	3.801743
786O	TMEM259 kd6	slide4	A4	M44	244	4.06765	0.25749052
786O	SARNP kd3	slide4	B2	M39	142	2.6923895	3.175763
293T	untreated	slide4	B4	M52	440	-2.0194063	3.1085174
293T	untreated	slide4	B4	M14	600	-0.5942902	0.4205342
293T	untreated	slide4	B4	M4	684	-2.1625497	-0.64226794
786O	TMEM259 kd6	slide4	A4	M53	215	2.8471649	2.0263646
786O	SARNP kd3	slide4	B2	M41	40	4.814955	0.14942159
293T	untreated	slide4	B4	M23	932	-3.5101814	2.2040572
786O	DDX39A kd4	slide4	A2	M49	32	3.0706747	3.2540486
293T	untreated	slide4	B4	M5	865	-1.6222377	0.79842716
786O	DDX39A kd4	slide4	A2	M46	130	4.6588283	-0.14604667
293T	untreated	slide4	B4	M12	858	-0.8364577	0.41751093
786O	DDX39A kd1	slide4	B1	M21	207	5.0658517	2.6497967
293T	untreated	slide4	B4	M38	697	-1.5787716	2.7794464
786O	TMEM259 kd6	slide4	A4	M41	78	4.4824343	2.6217008
293T	untreated	slide4	B4	M42	593	-3.9919097	2.4385293
293T	untreated	slide4	B4	M42	593	-0.8896864	1.8058939
293T	untreated	slide4	B4	M9	856	-3.5959394	1.3867637
786O	DDX39A kd4	slide4	A2	M16	97	1.8487878	-0.11244789
786O	DDX39A kd1	slide4	B1	M43	100	4.353745	3.6153648
786O	TMEM259 kd5	slide4	B3	M43	142	5.1802044	-0.1926532
293T	untreated	slide4	B4	M9	856	0.11686524	1.4779483
786O	TMEM259 kd6	slide4	A4	M38	200	1.6493213	0.38457045
293T	untreated	slide4	B4	M51	259	-1.595272	0.8325804
786O	TMEM259 kd5	slide4	B3	M28	235	2.4780853	0.27391258
293T	untreated	slide4	B4	M56	751	-1.9427	2.4039443
786O	TMEM259 kd5	slide4	B3	M24	101	2.9542322	0.4310611
293T	untreated	slide4	B4	M54	532	-2.6602795	1.9197012
786O	DDX39A kd4	slide4	A2	M19	169	2.6184871	1.5617669
786O	TMEM259 kd5	slide4	B3	M22	172	3.5069854	3.0424907
293T	untreated	slide4	B4	M24	715	-2.5268734	3.868715
293T	untreated	slide4	B4	M33	223	-1.1110414	2.0611393
786O	TMEM259 kd6	slide4	A4	M19	168	2.9904685	-0.23913036
293T	untreated	slide4	B4	M51	259	-3.030308	-0.114137955
293T	untreated	slide4	B4	M50	167	-2.8152375	1.6135174
293T	untreated	slide4	B4	M22	795	-2.526615	-0.7846342
293T	untreated	slide4	B4	M45	335	-3.863199	2.580723
786O	SARNP kd3	slide4	B2	M38	155	2.0153577	0.8404122
293T	untreated	slide4	B4	M24	715	-2.2920656	0.022199532
786O	SARNP kd3	slide4	B2	M30	160	1.5602869	1.9435409
293T	untreated	slide4	B4	M6	840	-4.379257	1.8639808
293T	untreated	slide4	B4	M6	840	-1.3520961	7.901121
293T	untreated	slide4	B4	M56	751	-2.7608557	2.6246955
293T	untreated	slide4	B4	M4	684	-3.1069155	-0.11849079
293T	untreated	slide4	B4	M34	398	0.17182854	0.91257566
293T	untreated	slide4	B4	M5	865	-3.1998334	3.086396
786O	DDX39A kd1	slide4	B1	M20	213	2.8691814	-0.43589512
786O	SARNP kd3	slide4	B2	M45	113	2.9549568	0.3290151
293T	untreated	slide4	B4	M5	865	-3.2865791	0.15251432
293T	untreated	slide4	B4	M56	751	-3.501428	2.8915803
293T	untreated	slide4	B4	M27	549	-0.4186084	-0.99896026
786O	TMEM259 kd6	slide4	A4	M38	200	3.2251868	2.9241107
786O	TMEM259 kd6	slide4	A4	M23	115	0.39505592	-0.67618334
293T	untreated	slide4	B4	M40	744	-0.39389336	-0.44699872
786O	DDX39A kd4	slide4	A2	M19	169	3.5661561	1.7911443
293T	untreated	slide4	B4	M5	865	-1.4883938	3.8642058
293T	untreated	slide4	B4	M9	856	-2.2359264	3.267422
786O	SARNP kd9	slide4	A3	M52	53	4.138392	0.24070658
786O	DDX39A kd4	slide4	A2	M37	96	3.7307017	1.6486272
293T	untreated	slide4	B4	M48	160	-3.7961311	0.606171
293T	untreated	slide4	B4	M36	414	0.20796776	2.9146461
786O	SARNP kd9	slide4	A3	M56	91	4.728128	1.8237964
293T	untreated	slide4	B4	M38	697	-4.2207065	1.5512114
786O	TMEM259 kd5	slide4	B3	M28	235	2.0996878	-0.17656864
786O	TMEM259 kd6	slide4	A4	M20	205	2.2667294	0.1721708
786O	TMEM259 kd5	slide4	B3	M40	88	2.2580798	-0.66947895
786O	DDX39A kd1	slide4	B1	M21	207	2.8785465	2.2671764
293T	untreated	slide4	B4	M40	744	-3.3235338	1.2665226
786O	TMEM259 kd6	slide4	A4	M28	216	2.0174358	2.9936042
786O	TMEM259 kd5	slide4	B3	M60	64	4.0836906	2.9360993
293T	untreated	slide4	B4	M26	678	-3.1124384	3.1348388
293T	untreated	slide4	B4	M55	790	-2.0431223	3.618275
293T	untreated	slide4	B4	M21	788	0.0024302534	7.888155
293T	untreated	slide4	B4	M60	979	-4.1442595	-1.7105237
293T	untreated	slide4	B4	M9	856	-1.7625384	4.341144
293T	untreated	slide4	B4	M13	726	-3.6672382	1.2107631
293T	untreated	slide4	B4	M38	697	-3.591566	2.2968326
786O	TMEM259 kd6	slide4	A4	M37	231	2.59217	0.039707746
293T	untreated	slide4	B4	M33	223	-1.8963094	-1.1847576
786O	SARNP kd9	slide4	A3	M38	83	2.1934993	1.2208909
786O	TMEM259 kd6	slide4	A4	M45	231	1.7008318	1.1896789
786O	DDX39A kd4	slide4	A2	M30	133	2.2376218	1.9577765
786O	DDX39A kd1	slide4	B1	M37	145	5.6408644	0.16779493
786O	DDX39A kd4	slide4	A2	M52	119	3.4016848	0.6763411
293T	untreated	slide4	B4	M28	458	-3.5486472	1.3538352
786O	DDX39A kd1	slide4	B1	M44	146	2.5575376	2.0203419
293T	untreated	slide4	B4	M44	463	-1.0379447	0.33915752
786O	TMEM259 kd5	slide4	B3	M32	51	6.1630945	0.63271683
786O	TMEM259 kd6	slide4	A4	M57	50	4.744602	2.6137908
293T	untreated	slide4	B4	M36	414	-3.0454454	0.24011308
293T	untreated	slide4	B4	M62	553	0.19605242	2.8551376
293T	untreated	slide4	B4	M26	678	-2.7528114	1.9672431
293T	untreated	slide4	B4	M51	259	-1.1021451	0.5702296
293T	untreated	slide4	B4	M37	360	-0.86479104	3.586527
293T	untreated	slide4	B4	M23	932	-2.2094445	3.9813437
786O	DDX39A kd4	slide4	A2	M19	169	3.1623998	0.16796196
293T	untreated	slide4	B4	M6	840	-1.1094656	-1.0720141
293T	untreated	slide4	B4	M13	726	1.0111222	2.6905015
786O	DDX39A kd4	slide4	A2	M48	45	1.7176157	1.2254386
293T	untreated	slide4	B4	M9	856	-1.4160149	-0.5090392
786O	SARNP kd3	slide4	B2	M52	106	3.7503269	2.8410048
786O	TMEM259 kd5	slide4	B3	M30	196	3.7325933	2.7600484
293T	untreated	slide4	B4	M10	867	-3.8669045	1.0536137
293T	untreated	slide4	B4	M3	650	-1.7308202	-1.3117
293T	untreated	slide4	B4	M19	463	-0.76766914	7.6376867
